"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"1","Adams",2016,3780,37.4,5983,59.2,344,3.41,2203,21.8,"Rep","Trump",10107,56.9697311312778,17741,-16.4738213278896,14.0556430446194,2.42817828327015,3101,30.529464372509,-180,-1.94779464191804,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.368421052631579,"Dominion","Some or no voting machines",NA
"2","Ashland",2016,4136,52.18,3428,43.25,362,4.57,-708,-8.93,"Dem","Clinton",7926,62.9547259729944,12590,-12.3087720974677,9.56629240324893,2.74247969421882,1871,21.8750645007167,-446,-4.61589549593211,5,"Mostly Dem","Dem2016","Large turnout change 2016","Large turnout change 2016",0.0625,"Dominion","Some or no voting machines",NA
"3","Barron",2016,7881,35,13595,60.38,1038,4.61,5714,25.38,"Rep","Trump",22514,61.6906425537745,36495,-12.9904812268641,9.95253657676715,3.02794465009695,5161,22.9430178036312,-178,-1.48835346482394,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.228571428571429,"Dominion","Some or no voting machines",NA
"4","Bayfield",2016,4953,52.19,4125,43.46,413,4.35,-828,-8.73,"Dem","Clinton",9491,76.2880797363556,12441,-9.44669799754802,6.64961994278708,2.79707805476093,1602,16.0963179403351,-297,-3.65311595132816,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.428571428571429,"Dominion","Some or no voting machines",NA
"5","Brown",2016,53358,41.85,67192,52.7,6947,5.45,13834,10.85,"Rep","Trump",127497,66.5127707524728,191688,-6.64683544303797,2.4114668652271,4.23536857781087,11524,9.05830230826508,-1431,-1.82857552879494,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",92124.0198290683
"6","Buffalo",2016,2531,36.57,4049,58.5,341,4.92,1518,21.93,"Rep","Trump",6921,63.8763267189663,10835,-14.1474314533314,10.7091206137235,3.4283108396079,1724,24.856552067055,-118,-2.13699035877916,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0434782608695652,"Dominion","Some or no voting machines",NA
"7","Burnett",2016,2948,33.81,5412,62.07,359,4.12,2464,28.26,"Rep","Trump",8719,69.0449794108331,12628,-12.1275360147516,9.63252160885099,2.49501440590066,1900,21.7600576236026,42,-0.773173147905254,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"8","Calumet",2016,9634,36.45,15345,58.06,1450,5.49,5711,21.61,"Rep","Trump",26429,72.2044641149633,36603,-7.03599545798637,3.02971990915972,4.00627554882665,2661,10.0657153671461,9,-1.13756736492459,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.941176470588235,"Dominion","Mostly voting machines",NA
"9","Chippewa",2016,11875,37.73,17912,56.92,1684,5.36,6037,19.19,"Rep","Trump",31471,64.2816291515176,48958,-11.5296663649295,7.38553730764257,4.15412905728695,5952,18.9152036725721,539,0.0847132268138893,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",NA
"10","Clark",2016,4225,31.19,8645,63.81,678,5,4420,32.62,"Rep","Trump",13548,53.9610467200382,25107,-13.5313970002174,10.1037468299399,3.42765017027752,3180,23.6351438301572,-253,-1.89309549534887,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.363636363636364,"Dominion","Some or no voting machines",NA
"11","Columbia",2016,13525,46.18,14160,48.35,1602,5.46,635,2.17,"Rep","Trump",29287,65.8756579243331,44458,-10.0466745236692,5.70611864073856,4.33055588293066,4784,15.7527931644078,-1259,-3.93738774006333,3,"Mostly Dem","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"Dominion","Mostly voting machines",NA
"12","Crawford",2016,3426,44.62,3844,50.07,408,5.32,418,5.45,"Rep","Trump",7678,58.2637729549249,13178,-14.5970909556096,10.8349993603684,3.77209159524114,1980,25.432090315978,-139,-2.01072777759113,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"13","Dane",2016,217506,71.38,71270,23.39,15953,5.25,-146236,-47.99,"Dem","Clinton",304729,77.6296549159071,392542,0.346306245294727,-4.10810145932849,3.78179521403375,-13809,-4.45440770462323,548,-1.10680736484916,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",152428.761832692
"14","Dodge",2016,13968,32.62,26643,62.22,2207,5.15,12675,29.6,"Rep","Trump",42818,60.7295832978754,70506,-9.55317029311275,5.55078582988671,3.99238446322604,6226,15.1039561229995,-1670,-3.38432524670664,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
"15","Door",2016,8026,46.13,8584,49.34,788,4.53,558,3.21,"Rep","Trump",17398,74.8462034846203,23245,-6.82116292230207,3.38334785807255,3.43781506422953,1794,10.2045107803746,-273,-2.39731620764699,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
"16","Douglas",2016,11342,51.12,9657,43.53,1186,5.35,-1685,-7.59,"Dem","Clinton",22185,62.6199616122841,35428,-13.8009399842754,9.87489385865292,3.92604612562243,5473,23.6758338429283,-709,-3.04097853169161,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
