"","X.2","X.1","X","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","trump.defs","clinton.defs","other.defs"
"1",1,1,1,"--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",940,"Likely Voters","Internet",41,45,2,8,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,2,88,46.5909090909091,51.1363636363636,2.27272727272727
"2",2,2,5,"--","IBD/TIPP","2016-11-04","2016-11-07","2016-11-08T12:10:06Z",1107,"Likely Voters","Live Phone",43,41,4,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,4,88,48.8636363636364,46.5909090909091,4.54545454545455
"3",3,3,6,"--","IBD/TIPP","2016-11-04","2016-11-07","2016-11-08T12:10:06Z",1107,"Likely Voters","Live Phone",42,43,5,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",2,5,90,46.6666666666667,47.7777777777778,5.55555555555556
"4",4,4,7,"--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",3669,"Likely Voters","Internet",41,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,5,91,45.0549450549451,49.4505494505495,5.49450549450549
"5",5,5,11,"--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",3669,"Likely Voters","Internet",45,49,7,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",2,7,101,44.5544554455446,48.5148514851485,6.93069306930693
"6",6,6,15,"--","Lucid/The Times-Picayune","2016-11-04","2016-11-06","2016-11-07T15:43:26Z",931,"Likely Voters","Internet",40,45,2,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,2,87,45.9770114942529,51.7241379310345,2.29885057471264
"7",7,7,16,"--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",43,46,5,6,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote? ",1,5,94,45.7446808510638,48.936170212766,5.31914893617021
"8",8,8,20,"--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",41,44,2,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote? ",2,2,87,47.1264367816092,50.5747126436782,2.29885057471264
"9",9,9,21,"--","ABC/Post","2016-11-03","2016-11-06","2016-11-07T20:19:38Z",2220,"Likely Voters","Live Phone",43,47,4,1,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/","Nonpartisan","None","",1,4,94,45.7446808510638,50,4.25531914893617
"10",10,10,22,"--","ABC/Post","2016-11-03","2016-11-06","2016-11-07T20:19:38Z",2220,"Likely Voters","Live Phone",46,49,3,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/","Nonpartisan","None","",2,3,98,46.9387755102041,50,3.06122448979592
